pruid,prname,date,numtotal,numdeathstoday
60,Yukon,2020-04-17,9,0
61,Northwest Territories,2020-04-17,5,0
62,Nunavut,2020-04-17,0,0
99,Repatriated travellers,2020-04-17,13,
1,Canada,2020-04-17,31884,116
59,British Columbia,2020-04-18,1618,1
48,Alberta,2020-04-18,2562,1
47,Saskatchewan,2020-04-18,313,0
46,Manitoba,2020-04-18,253,0
35,Ontario,2020-04-18,10010,36
24,Quebec,2020-04-18,17521,117
10,Newfoundland and Labrador,2020-04-18,256,0
13,New Brunswick,2020-04-18,118,0
12,Nova Scotia,2020-04-18,649,3
11,Prince Edward Island,2020-04-18,26,0
60,Yukon,2020-04-18,9,0
61,Northwest Territories,2020-04-18,5,0
62,Nunavut,2020-04-18,0,0
99,Repatriated travellers,2020-04-18,13,
1,Canada,2020-04-18,33353,158
59,British Columbia,2020-04-19,1618,0
48,Alberta,2020-04-19,2562,0
47,Saskatchewan,2020-04-19,315,0
46,Manitoba,2020-04-19,253,0
35,Ontario,2020-04-19,10578,39
24,Quebec,2020-04-19,18357,72
10,Newfoundland and Labrador,2020-04-19,256,0
13,New Brunswick,2020-04-19,118,0
12,Nova Scotia,2020-04-19,675,2
11,Prince Edward Island,2020-04-19,26,0
60,Yukon,2020-04-19,9,0
61,Northwest Territories,2020-04-19,5,0
62,Nunavut,2020-04-19,0,0
99,Repatriated travellers,2020-04-19,13,
1,Canada,2020-04-19,34785,113
59,British Columbia,2020-04-20,1699,8
48,Alberta,2020-04-20,2908,8
47,Saskatchewan,2020-04-20,316,0
46,Manitoba,2020-04-20,254,1
35,Ontario,2020-04-20,11184,31
24,Quebec,2020-04-20,19319,62
10,Newfoundland and Labrador,2020-04-20,256,0
13,New Brunswick,2020-04-20,118,0
12,Nova Scotia,2020-04-20,721,0
11,Prince Edward Island,2020-04-20,26,0
60,Yukon,2020-04-20,11,0
61,Northwest Territories,2020-04-20,5,0
62,Nunavut,2020-04-20,0,0
99,Repatriated travellers,2020-04-20,13,
1,Canada,2020-04-20,36830,110
59,British Columbia,2020-04-21,1724,1
48,Alberta,2020-04-21,3095,2
47,Saskatchewan,2020-04-21,320,0
46,Manitoba,2020-04-21,255,0
35,Ontario,2020-04-21,11735,38
24,Quebec,2020-04-21,20126,102
10,Newfoundland and Labrador,2020-04-21,256,0
13,New Brunswick,2020-04-21,118,0
12,Nova Scotia,2020-04-21,737,1
11,Prince Edward Island,2020-04-21,26,0
60,Yukon,2020-04-21,11,0
61,Northwest Territories,2020-04-21,5,0
62,Nunavut,2020-04-21,0,0
99,Repatriated travellers,2020-04-21,13,
1,Canada,2020-04-21,38421,144
59,British Columbia,2020-04-22,1795,3
48,Alberta,2020-04-22,3401,5
47,Saskatchewan,2020-04-22,326,0
46,Manitoba,2020-04-22,257,0
35,Ontario,2020-04-22,12245,37
24,Quebec,2020-04-22,20965,93
10,Newfoundland and Labrador,2020-04-22,256,0
13,New Brunswick,2020-04-22,118,0
12,Nova Scotia,2020-04-22,772,2
11,Prince Edward Island,2020-04-22,26,0
60,Yukon,2020-04-22,11,0
